IMSGUNI002,6006016053E04E00B6E2785E87A19EB7,4194304,IMVWRVD_D01,20201229190458
IMSGUNI002,6006016053E04E0061E5785E98E36AE3,4194304,IMVWEVD_D01,20201229190458
IMSGUNI002,6006016053E04E0046E6785E6F669404,4194304,IMVWEVD_D02,20201229190458
IMSGUNI002,6006016053E04E001FE7785EA0A415AA,4194304,IMVWEVD_D03,20201229190458
IMSGUNI002,6006016053E04E0092E7785E07BA4E98,4194304,IMVWEVD_D04,20201229190458
IMSGUNI002,6006016053E04E0012E8785E7195BC26,4194304,IMVWEVD_D05,20201229190458
IMSGUNI002,6006016053E04E0030FC785EB7EB6DF8,4194304,IMVWIVD_D01,20201229190458
IMSGUNI002,6006016053E04E0050FD785EF68AB2E3,4194304,IMVWIVD_D02,20201229190458
IMSGUNI002,6006016053E04E00D9FD785ED76EBBF7,4194304,IMVWIVD_D03,20201229190458
IMSGUNI002,6006016053E04E0072FE785E8E5A11E2,4194304,IMVWIVD_D04,20201229190458
IMSGUNI002,6006016053E04E00DBFE785EC27473F3,4194304,IMVWIVD_D05,20201229190458
IMSGUNI002,6006016053E04E00EBFF785EF27882D8,4194304,IMVWIVD_D06,20201229190458
IMSGUNI002,6006016053E04E006000795E1F122D85,4194304,IMVWIVD_D07,20201229190458
IMSGUNI002,6006016053E04E00CA00795E71C7EC24,4194304,IMVWIVD_D08,20201229190458
IMSGUNI002,6006016053E04E00F5297E5E5C72316B,4194304,IMVWRVD_D02,20201229190458
IMSGUNI002,6006016053E04E001C374D5F5EE8A966,1024000,PRDICT14DR_D0001,20201229190458
IMSGUNI002,6006016053E04E006A374D5F28F07046,1024000,PRDICT14DR_D0002,20201229190458
IMSGUNI002,6006016053E04E00B0374D5F563B2A0E,1024000,PRDICT14DR_D0003,20201229190458
IMSGUNI002,6006016053E04E00F4374D5F4556DE01,1024000,PRDICT14DR_D0004,20201229190458
IMSGUNI002,6006016053E04E0030384D5F457B9C42,1024000,PRDICT14DR_D0005,20201229190458
IMSGUNI002,6006016053E04E009B384D5F83C1D813,1024000,PRDICT14DR_D0006,20201229190458
IMSGUNI002,6006016053E04E00DA384D5FDD7B4E07,1024000,PRDICT14DR_D0007,20201229190458
IMSGUNI002,6006016053E04E0018394D5F07AE0A31,1024000,PRDICT14DR_D0008,20201229190458
IMSGUNI002,6006016053E04E0059394D5F5F1CFEBC,1024000,PRDICT14DR_D0009,20201229190458
IMSGUNI002,6006016053E04E00103D4D5F58DA6999,1024,DUMMY,20201229190458
IMSGUNI002,6006016053E04E00312B805F93A0AA41,1024000,PRDICT14DR_D0010,20201229190458
